Job array    : 752, task 11
Node         : bn049
Started at   : Tue Mar 17 02:39:18 PM EDT 2026
Config       : train/config/default.yaml
Study        : yoloe_hparam_search_v4 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v4.db
Trials       : 15 (this worker)
Checkpoints  : top-3 per trial → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4
Study name   : yoloe_hparam_search_v4
Storage      : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v4.db
Trials       : 15 (this worker)
Epochs/trial : 50 (max, EMA early stopping patience=15)
EMA alpha    : 0.3
Checkpoints  : top-3 per trial → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4

  Epoch  19/50 | LR=2.43e-04 | TLoss=12.7341 | VLoss=33.1772 | AP@50=0.3971 | SliceAP=0.6337 | EMA_SliceAP=0.5340
  Epoch  20/50 | LR=2.36e-04 | TLoss=11.9905 | VLoss=37.7845 | AP@50=0.2765 | SliceAP=0.4059 | EMA_SliceAP=0.4956
  Epoch  21/50 | LR=2.28e-04 | TLoss=12.0872 | VLoss=35.7756 | AP@50=0.3215 | SliceAP=0.5644 | EMA_SliceAP=0.5162
  Epoch  22/50 | LR=2.20e-04 | TLoss=11.5633 | VLoss=35.0333 | AP@50=0.3072 | SliceAP=0.5842 | EMA_SliceAP=0.5366
  Epoch  23/50 | LR=2.12e-04 | TLoss=11.5001 | VLoss=35.3326 | AP@50=0.2517 | SliceAP=0.6139 | EMA_SliceAP=0.5598
  Epoch  24/50 | LR=2.03e-04 | TLoss=9.8618 | VLoss=35.5262 | AP@50=0.3739 | SliceAP=0.6337 | EMA_SliceAP=0.5819
  Epoch  25/50 | LR=1.94e-04 | TLoss=10.6728 | VLoss=34.9014 | AP@50=0.4242 | SliceAP=0.5941 | EMA_SliceAP=0.5856
  Epoch  26/50 | LR=1.84e-04 | TLoss=10.5131 | VLoss=32.9671 | AP@50=0.4400 | SliceAP=0.6634 | EMA_SliceAP=0.6089
  Epoch  27/50 | LR=1.74e-04 | TLoss=10.0724 | VLoss=33.6711 | AP@50=0.4023 | SliceAP=0.6733 | EMA_SliceAP=0.6282
  Epoch  28/50 | LR=1.65e-04 | TLoss=8.9683 | VLoss=32.7871 | AP@50=0.4359 | SliceAP=0.6436 | EMA_SliceAP=0.6328
  Epoch  29/50 | LR=1.55e-04 | TLoss=9.5159 | VLoss=35.5004 | AP@50=0.3922 | SliceAP=0.6238 | EMA_SliceAP=0.6301
  Epoch  30/50 | LR=1.44e-04 | TLoss=9.3525 | VLoss=32.5142 | AP@50=0.4531 | SliceAP=0.6733 | EMA_SliceAP=0.6431
  Epoch  31/50 | LR=1.34e-04 | TLoss=9.1803 | VLoss=34.7127 | AP@50=0.2951 | SliceAP=0.6337 | EMA_SliceAP=0.6402
  Epoch  32/50 | LR=1.24e-04 | TLoss=8.9717 | VLoss=33.2015 | AP@50=0.4240 | SliceAP=0.6832 | EMA_SliceAP=0.6531
  Epoch  33/50 | LR=1.15e-04 | TLoss=8.9861 | VLoss=34.4804 | AP@50=0.3752 | SliceAP=0.6040 | EMA_SliceAP=0.6384
  Epoch  34/50 | LR=1.05e-04 | TLoss=8.0727 | VLoss=33.2078 | AP@50=0.3384 | SliceAP=0.6436 | EMA_SliceAP=0.6399
  Epoch  35/50 | LR=9.54e-05 | TLoss=8.7971 | VLoss=30.5746 | AP@50=0.4032 | SliceAP=0.6733 | EMA_SliceAP=0.6499
  Epoch  36/50 | LR=8.61e-05 | TLoss=8.1586 | VLoss=32.7493 | AP@50=0.3945 | SliceAP=0.6436 | EMA_SliceAP=0.6480
  Epoch  37/50 | LR=7.72e-05 | TLoss=8.2921 | VLoss=33.0074 | AP@50=0.3976 | SliceAP=0.6436 | EMA_SliceAP=0.6467
  Epoch  38/50 | LR=6.87e-05 | TLoss=8.2865 | VLoss=33.6316 | AP@50=0.3292 | SliceAP=0.6040 | EMA_SliceAP=0.6339
  Epoch  39/50 | LR=6.06e-05 | TLoss=8.0652 | VLoss=34.0604 | AP@50=0.3840 | SliceAP=0.6337 | EMA_SliceAP=0.6338
  Epoch  40/50 | LR=5.30e-05 | TLoss=7.1645 | VLoss=33.1531 | AP@50=0.4263 | SliceAP=0.6238 | EMA_SliceAP=0.6308
  Epoch  41/50 | LR=4.59e-05 | TLoss=7.1866 | VLoss=34.0967 | AP@50=0.4227 | SliceAP=0.6436 | EMA_SliceAP=0.6346
  Epoch  42/50 | LR=3.93e-05 | TLoss=7.2175 | VLoss=33.3274 | AP@50=0.4210 | SliceAP=0.6436 | EMA_SliceAP=0.6373
  Epoch  43/50 | LR=3.34e-05 | TLoss=7.1238 | VLoss=33.3706 | AP@50=0.3955 | SliceAP=0.6436 | EMA_SliceAP=0.6392
  Epoch  44/50 | LR=2.80e-05 | TLoss=7.2366 | VLoss=32.4519 | AP@50=0.4353 | SliceAP=0.6733 | EMA_SliceAP=0.6494
  Epoch  45/50 | LR=2.33e-05 | TLoss=7.0409 | VLoss=32.4610 | AP@50=0.4364 | SliceAP=0.6733 | EMA_SliceAP=0.6566
  Epoch  46/50 | LR=1.93e-05 | TLoss=7.7303 | VLoss=32.5892 | AP@50=0.4138 | SliceAP=0.6634 | EMA_SliceAP=0.6586
  Epoch  47/50 | LR=1.60e-05 | TLoss=6.9941 | VLoss=32.6061 | AP@50=0.4405 | SliceAP=0.6733 | EMA_SliceAP=0.6630
  Epoch  48/50 | LR=1.34e-05 | TLoss=6.6559 | VLoss=33.0982 | AP@50=0.4087 | SliceAP=0.6436 | EMA_SliceAP=0.6572
